cd_id,updated,status,indexed_late
CD001873,Y,A,
CD001874,N,A,
CD001876,Y,A,
CD001877,Y,A,
CD001880,Y,A,
CD001884,Y,A,
CD001886,Y,A,
CD001892,Y,A,
CD001893,N,A,
CD001895,Y,A,
CD001896,Y,A,
CD001897,Y,A,
CD001898,Y,A,
CD001899,Y,A,
CD001900,Y,A,
CD001901,Y,A,
CD001902,Y,A,
CD001905,Y,A,
CD001907,Y,A,
CD001908,Y,A,
CD001909,Y,A,
CD001910,Y,A,
CD001911,Y,A,
CD001912,Y,A,
CD001913,N,S,
CD001914,Y,A,
CD001915,Y,A,
CD001916,Y,A,
CD001917,Y,A,
CD001918,Y,A,
CD001919,Y,A,
CD001921,Y,A,
CD001922,Y,A,
CD001923,Y,A,
CD001924,N,S,
CD001925,Y,A,
CD001927,Y,A,
CD001928,N,A,
CD001929,Y,A,
CD001932,Y,A,
CD001934,Y,A,
CD001935,Y,A,
CD001938,Y,A,
CD001940,N,A,
CD001941,Y,A,
CD001942,Y,A,
CD001943,Y,A,
CD001944,Y,A,
CD001945,N,A,
CD001948,Y,A,
CD001949,Y,A,
CD001950,N,A,
CD001951,N,A,
CD001953,Y,A,
CD001955,Y,A,
CD001956,Y,A,
CD001957,Y,A,
CD001958,Y,W,
CD001960,Y,S,
CD001961,Y,W,
CD001966,Y,A,
CD001968,N,A,
CD001969,Y,A,
CD001970,Y,A,
CD001971,Y,A,
CD001972,Y,A,
CD001973,Y,A,
CD001976,N,A,
CD001983,N,A,
CD001984,N,A,
CD001986,N,A,
CD001987,N,A,Y
CD001989,Y,A,
CD001991,Y,A,
CD001993,Y,A,
CD001996,Y,A,
CD001997,Y,A,
CD001998,Y,A,
CD001999,Y,A,
CD002000,Y,A,
CD002001,Y,A,
CD002002,Y,A,
CD002005,Y,A,
CD002006,Y,A,
CD002007,Y,A,
CD002008,Y,A,
CD002009,Y,A,
CD002010,Y,A,
CD002013,Y,A,
CD002014,Y,A,
CD002018,N,A,
CD002020,Y,A,
CD002021,Y,A,
CD002022,Y,A,
CD002023,Y,A,
CD002024,Y,A,
CD002025,Y,A,
CD002027,Y,A,
CD002028,Y,A,
CD002029,Y,A,
CD002030,Y,A,
CD002031,Y,A,
CD002032,Y,A,
CD002033,Y,A,
CD002034,Y,A,
CD002035,Y,A,
CD002036,Y,A,
CD002037,Y,A,
CD002038,N,S,
CD002039,N,S,
CD002040,N,A,
CD002041,Y,A,
CD002042,Y,A,
CD002043,Y,A,
CD002044,N,X,
CD002045,Y,A,
CD002046,Y,A,
CD002047,Y,A,Y
CD002048,N,A,
CD002049,Y,A,
CD002052,Y,A,
CD002053,Y,A,
CD002054,Y,A,
CD002055,Y,A,
CD002056,Y,A,
CD002059,Y,A,
CD002060,N,A,
CD002061,N,A,
CD002062,Y,A,
CD002063,Y,A,
CD002064,Y,A,
CD002066,N,A,
CD002067,N,A,
CD002068,N,A,
CD002070,Y,A,
CD002073,Y,A,
CD002075,N,W,
CD002079,N,A,
CD002080,N,A,
CD002083,Y,A,
CD002085,Y,A,
CD002086,Y,A,
CD002087,N,S,
CD002088,Y,A,
CD002091,Y,A,
CD002092,Y,W,
CD002095,Y,A,
CD002096,Y,W,
CD002098,N,A,
CD002099,Y,A,
CD002101,Y,A,
CD002111,Y,A,
CD002112,Y,A,
CD002113,Y,A,
CD002114,Y,A,
CD002115,Y,A,
CD002117,Y,A,
CD002118,Y,A,
CD002119,Y,A,
CD002120,Y,A,
CD002121,N,A,
CD002122,N,A,
CD002123,Y,A,
CD002124,N,A,
CD002125,Y,A,
CD002126,Y,A,
CD002130,Y,A,
CD002133,N,A,
CD002137,Y,A,
